AN;FI;FI_EJ;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;SEANCES_MED;CONSULT_EXT;SPED;UGER;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;FIL_TPL_GEN;FIL_TPL_INF;FIL_TPL_PEN;FIL_TPL_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;NB_CATTP_GEN;NB_CATTP_INF;NB_CATTP_PEN;NB_CATTP_TOT;ACT_CATTP_GEN;ACT_CATTP_INF;ACT_CATTP_PEN;ACT_CATTP_TOT;NB_CMP_GEN;NB_CMP_INF;NB_CMP_TOT;ACT_CMP_GEN;ACT_CMP_INF;ACT_CMP_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;PLATOT_HAD;SEJ_HAD;AUTGEN;PASSU_GEN;AUTPED;PASSU_PED;GEN;PED;ANT;SAMU;REA;SEJ_REANIM;TYPE1;SEJACC;TYPE2;SEJ_NEO;TYPE3;SEJ_REA;TRT_HEMO_CENTRE;SEAN_HEMO_CENTRE;TRT_INSUFF_REN;SEM_TRT_INSUFF_REN;CHIMIO;SEAN_CHIMIO;RTH;SEAN_RADIO;CHIRCAR;CARDIO_INT;NEUROCHIR;NEURO_INT;GREFFE;AMP;PRIS;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;INTTOT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRINF;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRINF;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;BIOGENSPE;MICROBIO;HEMATO;IMMUNO;GENE;ASSISTMED;ANOTO;PHARMA_A11;PHARMA_A20;PHARMA_A19;PHARMA_A26;NB_SCAN;ACT_SCAN;NB_IRM;ACT_IRM;NB_CAM;ACT_CAM;NB_TOMO;ACT_TOMO;SAL_INTERV;POST_REVEIL
2021;290000272;290000090;5;;;5;67;0;0;67;1286;0;0;1286;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;182;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;;2;;12;12;;;;;;;;;12;1;1;;;;;;;0.5;;1.5;;;1;;14;20;4;2;2;43;1;;4;3;1;2;;;;19;29;72;;0.02;;10.22;10.21;2.07;0.28;1.25;24.05;0.5;;3.91;1.4;0.55;0.67;;;;13.72;20.2;44.25;;;;;;;;;;;;;;;;;;;;;
2021;290000322;290000108;15;;;15;172;0;0;172;3897;0;0;3897;;;;;0;0;0;0;;1437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;247;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;3;2;14;14;;;;;;;;;14;2.04;;;;;;;;1.12;;3.16;2;;3;;14;31;8;1;2;59;0;;14;2;1;2;;;;27;45;104;;2.25;;12.13;26.91;5.2;0.1;1.18;47.77;0.42;;12.38;2.42;1.92;1.5;;;;24.26;40.98;88.75;;;;;;;;;;;;;;;;;;;;;
2021;290000975;290000546;3;;;3;77;0;0;77;438;0;0;438;2;;;2;1467;0;0;1467;4810;2676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;138;1360;15822;49;;;;;;;;;;;;;0;;;;;;;;1;4810;;;0;;0;;0;0;0;0;0;;;31;4;;;1;;;;4;;36;4;;;;;;;;;;;;24.48;4;;;0.01;;;;3.67;;28.16;3.42;;9;;101;82;24;11;91;318;7;;107;19;8;9;;2;;102;246;564;;8.76;;80.62;70.43;2.58;7.89;72.32;242.6;2.98;;60.81;14.22;4.09;6.75;;1.8;;89.07;175.63;418.23;;;;;;;;;;;;;;;;;;;;;
2021;290001015;290000751;21;;;21;293;0;0;293;5441;0;0;5441;4;;;4;271;0;0;271;;243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;270;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;;;;;;;;;6;;6;6;;;;;;;;;6;3.72;3.72;;;;;;;;;3.72;;;3;;20;21;13;1;2;60;1;;9;2;1;;;;;17;29;89;;2.39;;18.2;19.71;8.67;0.88;1.1;50.95;1;;9.74;1;0.8;;;;;16.8;28.54;79.49;;;;;;;;;;;;;;;;;;;;;
2021;2A0000212;2A0000170;8;;;8;106;0;0;106;1057;0;0;1057;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;140;0;;30;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;1;;3;;;;;;;;;;;;;2.2;2.2;;;;;;;1;;3.2;;;3;;34;38;26;1;5;107;;;23;1;1;3;;3;;42;72;179;;3;;24.65;25.72;20.79;0.34;2.6;77.1;0.75;;21.4;0.8;0.8;3;;2.6;;38.63;67.18;144.28;;;;;;;;;;;;;;;;;;;;;
2021;2A0002614;2A0002606;5;;;5;156;0;0;156;1552;0;0;1552;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;58;0;;30;23;25;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;;;;;;;1;;5;;;;;;;;;;;;;2.98;2.98;;;;;;;1.19;;4.17;;;1;;23;27;12;1;2;66;;;15;1;1;3;;3;;13;35;101;;1;;20.58;27.29;10.07;0.61;1.86;61.41;;;14.4;0.55;0.55;2.62;;3;;13;33.57;94.98;;;;;;;;;;;;;;;;;;;;;
2021;2B0000038;2B0004246;20;;;20;442;0;0;442;3958;0;0;3958;;;;;0;0;0;0;1306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;148;0;;10;10;20;100;;;;;;;;;0;;;;;;;;;;;;1;1306;0;;0;0;0;0;0;;;17;16;;;;;;;5;2;24;;;;;;;;;;;;;4.85;4.3;;;;;;;2.05;1.1;8;;;3;;40;28;5;1;5;82;1;;17;1;1;4;;3;;14;40;122;;2.5;;40;28;5;1;4.8;81.3;1;;16.5;0.25;0.25;4;;3;;14;38.75;120.05;;;;;;;;;;;;;;;;;;;;;
2021;300000056;300780079;10;0;0;10;246;0;0;246;5391;0;0;5391;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;525;0;;;;5;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;9;;;;;;;3;1;13;1;0;0;;;;;;;0;0;0;5.09;5.09;;;;;;;2.15;0.24;7.48;0.5;;4;;25;42;26;2;12;111;4;1;30;3;2;4;;;;44;86;197;;4.16;;23.42;38.52;23.04;1.36;9.5;100;3.12;1;18.91;1.08;0.98;4.01;;;;39.17;67.29;167.29;;;;;;;;;;;;;;;;;;;;;
2021;300000064;300780087;10;;;10;276;0;0;276;3681;0;0;3681;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;387;0;;30;13;8;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;;;;;;;3;;9;1;;;;;;;;;;;;4.37;4.37;;;;;;;2.01;;6.38;0.4;;5;;31;66;39;4;11;156;3;;33;6;;11;;;;71;124;280;;5.28;;28.12;55.32;25.27;1.93;8.76;124.68;3;;30.42;3.01;;9.89;;;;69.06;115.38;240.06;;;;;;;;;;;;;;;;;;;;;
2021;300000072;300780095;21;;;21;248;0;0;248;4109;0;0;4109;;;;;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;217;1280;5;30;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;;;;;;;3;1;9;;11;11;;;;;;;;;11;2.73;2.73;;;;;;;0.8;0.51;4.04;;;3;;16;35;28;2;7;91;1;;13;1;1;2;;;;18;35;126;;3.15;;14.39;30.67;21.98;1;5.27;76.46;1;;11.12;1;1;1.52;;;;17.56;32.2;108.66;;;;;;;;;;;;;;;;;;;;;
2021;300000478;300781010;11;;;11;203;0;0;203;2136;0;0;2136;1;;;1;3;0;0;3;;544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;178;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;;;;;;1;;5;;;;;;;;;;;;;2.57;2.49;;;;;;;1;;3.57;;;2;;17;33;5;;2;59;;;10;2;;2;;1;;18;33;92;;1.65;;15.68;24.18;3.91;;1.22;46.64;;;9.06;1.5;;1.22;;0.86;;15.86;28.5;75.14;;;;;;;;;;;;;;;;;;;;;
2021;320000110;320004310;28;;;28;377;0;0;377;7100;0;0;7100;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;288;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;2;;4;;21;21;;;;;;;;;21;2;2;;;;;;;1.8;;3.8;;;3;;14;25;23;1;3;69;2;;16;1;1;6;;;;52;77;146;;2.03;;11.21;25.44;16.93;0.6;2.38;58.59;2;;13.79;1;1;4.48;;;;49.48;70.75;129.34;;;;;;;;;;;;;;;;;;;;;
2021;320000128;320780158;15;;;15;216;0;0;216;4729;0;0;4729;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;131;0;;30;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;1;4;;7;7;;;;;;;;;7;0.4;;;;;;;;0.5;0.2;1.1;;;2;;15;28;19;1;8;73;;;10;1;;2;;;;22;35;108;;2.3;;11.3;24.14;17;0.7;3.74;59.18;;;9.49;0.8;;1.2;;;;21.54;33.03;92.21;;;;;;;;;;;;;;;;;;;;;
2021;320000144;320780174;28;;;28;406;0;0;406;5975;0;0;5975;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;265;0;;30;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2;;3;;8;8;;;;;;;;;8;0.1;;;;;;;;0.78;;0.88;;;5;;19;55;19;1;6;105;3;;10;2;1;2;;;;34;51;156;;4.4;;19.1;44.41;14.55;1;4.5;87.96;3;;9.32;1.3;0.8;1.62;;;;32.27;47.51;135.47;;;;;;;;;;;;;;;;;;;;;
2021;320000151;320780182;5;0;0;5;95;0;0;95;1921;0;0;1921;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;161;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;;;;;;;;;6;;;;;;;;;;;;;;1;;6;9;6;1;3;26;1;;6;;;1;;;;11;19;45;;1;;5.77;8.8;5.6;0.05;1.9;23.12;1;;5.9;;;0.5;;;;11;18.4;41.52;;;;;;;;;;;;;;;;;;;;;
2021;320000177;320780208;10;;;10;183;0;0;183;2974;0;0;2974;;;;;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;270;0;;30;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;1;2;5;;1;1;;;;;;;;;1;0.35;0.32;;;;;;;1.51;1.1;2.96;;;2;;14;27;25;1;5;74;2;;9;2;1;3;;;;29;45;119;;1.5;;12.17;26.26;21.07;0.16;3.44;64.6;1.17;;8.85;1.2;0.85;3.27;;;;28.09;42.58;107.18;;;;;;;;;;;;;;;;;;;;;
2021;330000613;330781261;39;0;0;39;1086;0;0;1086;8100;0;0;8100;0;;;0;0;0;0;0;;20937;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;582;0;;60;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;12;1;;;;;2;2;;29;;1;0;0;;;;;0;0;;1;8.17;2.55;0.29;;;;;0.06;1.13;;9.36;0;;5;;46;93;38;1;4;187;1;;43;3;2;3;;7;;23;80;267;;3.91;;44.94;90.15;36.16;1.73;3.08;179.97;0.62;;40.57;2.64;1.95;1.42;;6.52;;23.52;75.29;255.26;;;;;;;;;;;;1;;;;;;;;;
2021;330804501;330781212;18;;;18;319;0;0;319;2993;0;0;2993;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;389;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;;;;;;;1;;6;;;;;;;;;;;;;3.31;3.31;;;;;;;1;;4.31;;;1;;21;40;8;1;1;72;1;1;8;1;1;3;;1;;13;28;100;;1;;19.21;36.85;7.56;0.29;0.76;65.67;1;1;7.72;0.96;0.96;2.4;;0.8;;11.92;25.8;91.47;;;;;;;;;;;;;;;;;;;;;
2021;340000173;340780451;25;;;25;331;0;0;331;5361;0;0;5361;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;1;;3;;3;3;;;;;;;;;3;1.4;1.4;;;;;;;0.37;;1.77;0.34;;2;;10;12;7;2;2;35;1;;12;;;1;;;;21;35;70;;1.88;;8.29;12.63;5.31;0.36;0.35;28.82;0.9;;10.16;;;1;;;;20.19;32.25;61.07;;;;;;;;;;;;;;;;;;;;;
2021;340000215;340780519;22;;;22;326;0;0;326;3876;0;0;3876;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;149;1;;28;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;9;;;;;;;3;1;13;;1;1;;;;;;;;;1;1.19;1.19;;;;;;;0.9;0.2;2.29;;;3;;16;27;49;;6;101;1;;14;1;1;4;;6;;24;50;151;;1.88;;15.81;26.85;32.29;;4.85;81.68;0.62;;6.95;0.96;0.96;1.91;;4.4;;14.62;29.46;111.14;;;;;;;;;;;;1;;;;;;;;;
