BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2021;010006526;690796552;9999;;;0.13;;0.13;0.12;4.29;;;;;;;4.41;;;;;;4.54
Q24;2021;010007300;010007292;2000;1.13;;1.9;;3.03;;2.99;0.7;0.65;;;;;4.34;;;;;;7.37
Q24;2021;010007300;010007292;2100;1.13;;1.9;;3.03;;2.99;0.7;0.65;;;;;4.34;;;;;;7.37
Q24;2021;010007300;010007292;9999;1.13;;1.9;;3.03;;2.99;0.7;0.65;;;;;4.34;;;;;;7.37
Q24;2021;010008852;010783009;2000;0.37;;1.23;;1.6;1.47;0.6;;;1;0.4;;4.6;8.07;;0.78;0.78;0.15;;10.6
Q24;2021;010008852;010783009;2400;0.37;;1.23;;1.6;1.47;0.6;;;1;0.4;;4.6;8.07;;0.78;0.78;0.15;;10.6
Q24;2021;010008852;010783009;9999;0.37;;1.23;;1.6;1.47;0.6;;;1;0.4;;4.6;8.07;;0.78;0.78;0.15;;10.6
Q24;2021;010009314;010780054;1000;0.3;;0.66;;0.96;;0.24;;1.75;;;;0.1;2.09;;0.37;0.37;;2.5;5.92
Q24;2021;010009314;010780054;2000;;;1.8;;1.8;2.51;27.37;;46.94;13.25;0.8;;3.52;94.39;;0.15;0.15;;0.24;96.58
Q24;2021;010009314;010780054;2400;;;1.8;;1.8;1.33;12.58;;21.29;4.21;0.8;;3.52;43.73;;0.15;0.15;;;45.68
Q24;2021;010009314;010780054;2500;;;;;;1.18;14.79;;25.65;9.04;;;;50.66;;;;;0.24;50.9
Q24;2021;010009314;010780054;9999;0.3;;2.46;;2.76;2.51;27.61;;48.69;13.25;0.8;;3.62;96.48;;0.52;0.52;;2.74;102.5
Q24;2021;010009702;010780054;1000;;;;;;;0.14;;0.23;0.16;;;;0.53;;;;;;0.53
Q24;2021;010009702;010780054;2000;;;;;;0.4;4.66;;10.3;2.44;;;0.8;18.6;;;;;;18.6
Q24;2021;010009702;010780054;2500;;;;;;0.4;4.66;;10.3;2.44;;;0.8;18.6;;;;;;18.6
Q24;2021;010009702;010780054;9999;;;;;;0.4;4.8;;10.53;2.6;;;0.8;19.13;;;;;;19.13
