,Editeur,titres
3925,SOCIETE NOUVELLE ECHO LA MARSEILLAISE (S.N.E.M.),1
3926,SOCIETE NOUVELLE LE PATRIOTE BEAUJOLAIS,1
3928,SOCIETE NOUVELLE SEMEUR HEBDO,1
3930,SOCIETE PARISIENNE D'EDITIONS ET DE PUBLICATIONS IMMOBILIERES (SPEPI),1
3931,SOCIETE PROTECTRICE DES ANIMAUX DE BESANCON ET DE FRANCHE-COMTE,1
3932,SOCIETE PROTECTRICE DES ANIMAUX DE LYON ET DU SUD-EST,1
3933,SOCIETE SAINT THOMAS D'AQUIN,1
3934,SOCIETE SFEP,1
3935,SOCIETE SUPPORTS EDITIONS VALEURS ENVIRONNEMENTS (SEVES),1
3936,SOCIETE THEOSOPHIQUE DE FRANCE,1
3937,SOCIETE TOURAINE EDITIONS LOISIRS,1
3938,SOCIETE TOURAINE EDITIONS LOISIRS (TEL),1
3939,"SOCIÉTÉ D'ARCHÉOLOGIE, DE LITTÉRATURE, SCIENCES ET ARTS D'AVRANCHES, MORTAIN ET GRANVILLE",1
3940,SOCIÉTÉ D'EDITION DE PÉRIODIQUES TECHNIQUES AUTOMOBILES DU MIDI - (S.E.P.T.A.M.),1
3941,SOCIÉTÉ D'ÉDITION ET DE DOCUMENTATION ÉCONOMIQUE ET COMMERCIALE,1
3942,SOCIÉTÉ DE BORDA,1
3943,SOCORPRESSE,1
3906,SOCIETE NATIONALE DE SAUVETAGE EN MER,1
3905,SOCIETE NATIONALE DE PROTECTION DE LA NATURE ET D'ACCLIMATATION DE FRANCE,1
3904,SOCIETE NATIONALE DE COLOMBICULTURE,1
3885,"SOCIETE GENERALE DE PRESSE DE DOCUMENTATION, D'EDITIONS ET DE COMMUNICATION",1
3867,SOCIETE FRANCAISE D'ECONOMIE RURALE,1
3872,SOCIETE FRANCAISE D'EDITION ET DE PRESSE SFEP,1
3873,SOCIETE FRANCAISE D'EDITIONS TECHNIQUES - SOFETEC,1
3874,SOCIETE FRANCAISE D'ENERGIE NUCLEAIRE (SFEN),1
3875,SOCIETE FRANCAISE D'HISTOIRE DE LA MEDECINE,1
3876,SOCIETE FRANCAISE D'ORCHIDOPHILIE,1
3877,SOCIETE FRANCAISE DE GRAPHOLOGIE,1
3878,SOCIETE FRANCAISE DE NUMISMATIQUE,1
3879,SOCIETE FRANCAISE DE PROMOTION ARTISTIQUE,1
3880,SOCIETE FRANCAISE DE SANTE PUBLIQUE (SFSP),1
3881,SOCIETE FRANCAISE DES ANALYSTES FINANCIERS,1
3882,SOCIETE FRANCAISE POUR LE DROIT DE L'ENVIRONNEMENT,1
3883,SOCIETE FRANÇAISE D'EDITIONS MEDICALES (SFEM),1
3884,SOCIETE GENERALE DE PRESSE,1
3887,SOCIETE GEOLOGIQUE DE FRANCE - SGF,1
3903,SOCIETE NATIONALE D'ENTRAIDE DE LA MEDAILLE MILITAIRE,1
3888,SOCIETE GEOLOGIQUE DE France - SGF,1
3889,SOCIETE HISTORIQUE ET ARCHEOLOGIQUE DE LANGRES,1
3890,SOCIETE HISTORIQUE ET ARCHEOLOGIQUE DU PERIGORD (S.H.A.P.),1
3891,SOCIETE HYDROTECHNIQUE DE France (SHF),1
3892,SOCIETE INDEPENDANTE DE PRESSE D'ANCENIS,1
3893,SOCIETE INTERNATIONALE D'EDITION ET DE DIFFUSION DE REVUES ET JOURNEAUX PERIODIQUES -  INTER EDI,1
3894,SOCIETE LINNEENNE DE BORDEAUX,1
3895,SOCIETE LINNEENNE DE LYON,1
3896,SOCIETE LYONNAISE D'HORTICULTURE,1
3897,SOCIETE MAHORAISE DE PRESSE,1
3898,SOCIETE MARTIN MEDIA,1
3900,SOCIETE METEOROLOGIQUE DE FRANCE,1
3901,"SOCIETE MIDI AVEYRON PRESSE ""SOMAP""",1
3902,SOCIETE MONTARGOISE D'EDITION,1
3583,SNU IPP 05,1
2347,L'EQUIP'PAGE,1
2500,LE PAYS D'AUGE,1
815,CENTRE GENEALOGIQUE DU FINISTERE,1
822,CENTRE PROTESTANT D'ÉTUDES ET DE DOCUMENTATION (CPED),1
821,CENTRE POMPIDOU,1
819,CENTRE NATIONAL HOSPITALIER D'INFORMATION SUR LE MEDICAMENT,1
818,CENTRE HENRI ET ANDRÉ CHARLIER,1
817,CENTRE GENEALOGIQUE ET HISTORIQUE DU POHER,1
816,CENTRE GENEALOGIQUE DU MIDI-PROVENCE ( C.G.M.P ),1
814,CENTRE GENEALOGIQUE DE L'AUBE,1
842,CERCLE LITTERAIRE DES ECRIVAINS CHEMINOTS - ASSOCIATION ETIENNE-CATTIN,1
811,CENTRE DU ROSAIRE,1
810,CENTRE DIOCESAIN - CMR du Doubs,1
809,CENTRE DE RELATIONS CULTURELLES FRANCO-INDIEN,1
808,"CENTRE DE RECHERCHE ET D'ACTION SOCIALES ""CERAS""",1
807,CENTRE DE CULTURE OUVRIERE - CULTURE ET LIBERTE - PARIS,1
806,CENTRE D'INFORMATION REGIONAL AGROMETEOROLOGIQUE - CIRAME,1
823,CENTRE QUAKER INTERNATIONAL DE LA SOCIETE RELIGIEUSE DES AMIS,1
824,CENTRE SAINT IRENEE,1
826,CENTURYCOMM LIMITED,1
827,CERCLE ALGERIANISTE NATIONAL - FEDERATION DES CERCLES ALGÉRIANISTES,1
828,CERCLE AMICAL DU BERRY,1
829,CERCLE ANTONIO GRAMSCI,1
830,CERCLE BERNARD LAZARE,1
831,CERCLE D'ETUDES LOCALES DU TOULOIS,1
832,CERCLE D'HISTOIRE ET D'ARCHÉOLOGIE DE L'ALSACE DU NORD,1
833,CERCLE DE GENEALOGIE JUIVE - CGJ,1
834,CERCLE DE RECHERCHE ET D'ACTION PEDAGOGIQUE,1
835,CERCLE GENEALOGIQUE D'ALSACE,1
836,CERCLE GENEALOGIQUE DE L'AUNIS,1
837,CERCLE GENEALOGIQUE DE MAINE ET PERCHE,1
838,CERCLE GENEALOGIQUE DE SAÔNE ET LOIRE,1
839,CERCLE GENEALOGIQUE DU HAUT BERRY,1
840,CERCLE GENEALOGIQUE DU ROUERGUE,1
804,CENTRE D'INFORMATION INTER-PEUPLES,1
801,CENTRE D'EXPERTISES DE LOGICIELS - CELOG,1
800,CENTRE D'ETUDES SUPERIEURES DE CIVILISATION MEDIEVALE,1
781,CAUSEUR. FR,1
763,CAISSE MUTUELLE COMPLÉMENTAIRE ET D'ACTION SOCIALE  DE L'UNION TERRITORIALE CORSE,1
764,CAISSE PRIMAIRE D'ASSURANCE MALADIE DU FINISTERE,1
766,CANARD INDEPENDANT ALSACIEN,1
767,CAPCORE MEDIA,1
768,CAPE  EDITIONS,1
769,CAPE EDITIONS,1
771,CAPITALE TRAVEL,1
773,CARDIOLOGUE PRESSE,1
774,CARNETS COMTOIS EDITIONS,1
776,CARSAT Midi-Pyrénées,1
777,CASPIAN MEDIA,1
778,CASPIAN PUBLISHING,1
779,CATHOLICA,1
780,CAUSETTE MEDIA,1
782,CAVE CANEM PAYS VIENNOIS,1
799,CENTRE D'ETUDES GENEALOGIQUES RHÔNE-ALPES (CEGRA),1
783,CB MEDIA,1
784,CCE COMMUNICATION,1
785,CCMO MUTUELLE,1
787,CEDIM,1
789,CENTRAL BRITTANY JOURNAL NEZERT BOOKS,1
790,CENTRE - OUEST EDITIONS,1
791,CENTRE D'EGYPTOLOGIE (Montségur),1
792,"CENTRE D'ETUDE DE FORMATION ET D'ACTIONS ""PAYSANS""",1
793,CENTRE D'ETUDE DE LA DOCUMENTATION ET DE L'INFORMATION SCOLAIRES (CEDIS ),1
794,CENTRE D'ETUDE ET D'ACTION SOCIALE DE LA MAYENNE- CEAS,1
795,CENTRE D'ETUDE ET DE RECHERCHE TECHNIQUE ECONOMIQUE ET SOCIALE (CERTES),1
796,CENTRE D'ETUDE ET DE RECHERCHE TECHNIQUE ECONOMIQUE ET SOCIALE - CERTES -,1
797,CENTRE D'ETUDE POUR UN DEVELOPPEMENT AGRICOLE PLUS AUTONOME,1
798,CENTRE D'ETUDES ET DE PROSPECTIVE SUR LA SCIENCE,1
841,CERCLE GENEALOGIQUE SUD-BRETAGNE MORBIHAN,1
843,CERCLE SPIRITE ALLAN KARDEC,1
590,ASSOCIATION S.E.E.,1
889,"CHINA PICTORIAL & CONDE NAST CO., LTD",1
896,CIBSE,1
895,CHRYSALIDE,1
894,CHRONIQUES ET ACTIONS,1
893,CHRONIQUE BTP,1
892,CHRETIENS MEDIA 35,1
891,"CHRETIENS DE L'ENSEIGNEMENT PUBLIC, CDEP",1
888,CHINA DAILY UK CO LTD,1
844,CERIGO EDITIONS,1
887,CHEZ NOUS L'ECHO DE LA VALLEE,1
886,CHEZ NOUS HORIZONS DU SEGALA,1
885,CHEVALERIAS-CONSULTANT,1
884,CHASSEURS DE L'EST,1
883,CHASSES DE PICARDIE,1
882,CHASSER EN POITOU-CHARENTES,1
897,CIEMI,1
899,CIRAME,1
900,CITE DE L'ARCHITECTURE ET DU PATRIMOINE,1
901,CIVIROMA,1
902,CIVITAS,1
903,CKCL CONSEIL,1
904,CLAPMAG,1
905,CLARA MAGAZINE,1
906,CLASSE EXPORT,1
907,CLD,1
908,CLOVIS FIDELITER,1
909,CLUB ALPIN FRANCAIS D'ILE DE FRANCE,1
910,CLUB CEVENOL,1
911,CLUB DE LA PRESSE DE MONTPELLIER HERAULT LANGUEDOC-ROUSSILLON,1
912,CLUB DES ELEVEURS AMATEURS D'OISEAUX EXOTIQUES (CDE),1
913,CLUB NATIONAL DES BECASSIERS,1
914,CM2,1
881,CHASSER EN LOIRE ATLANTIQUE,1
880,CHASSE - PECHE - NATURE - TRADITIONS  - LE MOUVEMENT DE LA RURALITE,1
879,CHARLIE HORSE LTD,1
859,CGT EDUC' ACTION 06,1
845,CESHE FRANCE,1
846,CFDT - UNION LOCALE DES RETRAITES CFDT - SAINT NAZAIRE ET RÉGION,1
847,CFDT FEDERATION SANTE SOCIAUX,1
848,CFDT LORRAINE,1
849,CFDT REGION CENTRE,1
850,CFE CGC METALLURGIE,1
851,CFE-CGC-BTP,1
852,CFTC,1
853,CFTC - CONFEDERATION FRANCAISE DES TRAVAILLEURS CHRETIENS,1
854,CGA DIFFUSION,1
855,CGM PUBLI-DIFFUSION,1
856,CGR REALISATIONS EDITIONS,1
857,CGT,1
858,CGT - UNION DEPARTEMENTALE DU GARD,1
860,CGT EDUC'ACTION  DE LORRAINE,1
878,CHARLES PHILIPPE PRESSE (CPP),1
861,CGT EDUC'ACTION 13,1
862,CGT EDUC'ACTION 59-62,1
863,CGT EDUC'ACTION CRETEIL,1
864,CGT EDUC'ACTION NORD,1
865,CGT ENERGIES 77,1
866,CGT FINANCES PUBLIQUES,1
867,CGT INTERIM,1
868,CHAMBRE D'AGRICULTURE DE LA DROME,1
869,CHAMBRE D'AGRICULTURE DU RHONE,1
870,CHAMBRE DE CONSOMMATION DE LA REGION ALSACE,1
871,CHAMBRE SYNDICALE DES EMPLOYES ET CADRES CGT-FO DES ORGANISMES DE SECURITE SOCIALE ET ALLOCATIONS FAMILIALES,1
872,CHAMBRE SYNDICALE NATIONALE  DES FORCES DE VENTE,1
874,CHAMPION MAGAZINE,1
876,CHARENTE WESTERN CLUB,1
762,CAISSE D'ALLOCATIONS FAMILIALES DE MEURTHE-ET-MOSELLE,1
761,CAISSE D'ALLOCATIONS FAMILIALES  DE LOT ET GARONNE,1
760,CAISSE CENTRALE DE LA MUTUALITE SOCIALE AGRICOLE,1
637,AXEL SPRINGER RUSSIA,1
645,AgroParisTech,1
644,AZAD MAGAZINE,1
642,AXILONE,1
641,AXEL SPRINGER VERTRIEBSSERVICE GMBH,1
640,AXEL SPRINGER VERLAG GMBH,1
639,AXEL SPRINGER VERLAG,1
636,AXEL SPRINGER FINANCIAL MEDIA GMBH,1
759,CAISSE AUTONOME DE RETRAITES COMPLEMENTAIRES ET DE PREVOYANCE DU TRANSPORT,1
635,AXEL SPRINGER AG,1
633,AVOSMAC,1
632,AVNA,1
631,AVIORNIS FRANCE INTERNATIONAL (A.F.I ),1
630,AVIATION SANS FRONTIERES,1
629,AVEYRON INFO,1
646,André CHOMETTE,1
647,Association CERCLE GENEALOGIQUE DE LANGUEDOC,1
648,Association nationale des membres de l'Ordre national du Merite,1
649,Automotive investor media group,1
650,B & B MEDIA,1
651,B & D EDITIONS,1
653,B'ART EDITIONS,1
654,B-E LAB,1
655,B2M,1
656,B4B DOO,1
657,BAIGORRI ARGITALETXEA,1
658,BALISIER PRODUCTION,1
660,BASELO PRESSE,1
662,BAT STUDIO,1
663,BAT' CARRE,1
664,"BATIR, RENOVER, EMBELLIR L'EGLISE",1
665,BAUER CONSUMER  MEDIA LTD,1
628,AVENTURE DU BOUT DU MONDE,1
627,AVENIR SANTE MUTUELLE,1
626,AVANTAGES,1
606,ASSOCIATION VALENTIN HAÜY AU SERVICE DES AVEUGLES ET DES MALVOYANTS,1
592,ASSOCIATION SAINT-PAUL LE SILLON,1
593,ASSOCIATION SAINT-PIERRE CLAVER,1
594,ASSOCIATION SAINTE THÉRÈSE,1
595,ASSOCIATION SCIENTIFIQUE ET TECHNIQUE POUR L'EAU ET L'ENVIRONNEMENT,1
596,ASSOCIATION SOCIETE CENTRALE D'AVICULTURE DE FRANCE,1
597,ASSOCIATION SOLIDARITE THAIE EN FRANCE,1
598,ASSOCIATION SPINA BIFIDA ET HANDICAPS ASSOCIES,1
599,ASSOCIATION SURVIE,1
600,ASSOCIATION TECHNIQUE ENERGIE ENVIRONNEMENT (ATEE),1
601,ASSOCIATION TRISOMIE 21 FRANCE FEDERATION DES ASSOCIATIONS D'ETUDE POUR L'INSERTION SOCIALE DES PERSONNES PORTEUSES D'UNE TRISOMIE 21,1
602,ASSOCIATION UFC - QUE CHOISIR DE MAINE ET LOIRE,1
603,ASSOCIATION UNA VOCE,1
604,ASSOCIATION UNIVERSITAIRE D'ETUDES DRÔMOISES,1
605,ASSOCIATION VAL DE SEINE VERT,1
607,ASSOCIATION VIENS ET VOIS,1
625,AUTOWORKS,1
608,ASSOCIATION VOLCANOLOGIQUE EUROPEENNE,1
609,ASSOCIES EN EDITIONS,1
611,ATEMPORELLE,1
612,ATTAC,1
613,ATTITUDE MEDIA LTD,1
614,ATTITUDE RUGBY,1
616,AU COEUR DES VILLES (ACDV),1
617,AU COIN DE L'INFO,1
618,AU SERVICE DE NOTRE DAME,1
619,AUDAX UITGEVERS,1
620,AUDIOVISUEL MUSIQUE EVANGELISATION A.M.E,1
621,AUNISIENNE DE PRESSE,1
622,AUTISME FRANCE,1
623,AUTOMOBILE CLUB MEDICAL DE FRANCE,1
667,BAUER CONSUMER MEDIA  LDT,1
668,BAUER CONSUMER MEDIA  LTD,1
671,BAUER GERMAN PREMIUM GMBH,1
740,BUENA MEDIA PLUS,1
723,BMJ PUBLISHING GROUPE LTD,1
724,BMJ publishing group ltd,1
725,BNB PRESSE SANTE,1
727,BOM PRESSE,1
728,BONNE NOUVELLE,1
729,BONNE NOUVELLE EDITIONS,1
730,BONNIER CORP.,1
731,BONNIER CORPORATION,1
732,BOOKS,1
733,BOOKSTORMING PUBLICATIONS,1
734,BPCE MUTUELLE,1
735,BRANT PUBLICATIONS INC,1
737,BROWNBOOK PUBLISHING FZ LLC,1
738,BSC NEWS,1
741,BULLETIN AGRICOLE DES HAUTES PYRENEES,1
720,BMJ PUBLISHING GROUP  ltd,1
743,BURDA SENATOR VERLAG,1
745,BUREAU INTERNATIONAL CATHOLIQUE DE L'ENFANCE ( BICE ),1
746,BUSINESS DIGEST,1
747,BUSINESS IMMO,1
748,BW CONSEILS,1
749,Bauer Vertriebs KG,1
750,Bauer Women KG,1
751,C & P EDITIONS,1
752,C COMMUNICATION,1
753,C.H.A.T.E.L.,1
754,C.M.F. DIFFUSION,1
755,C.N.M PREVOYANCE SANTE,1
756,CADRES & DIRIGEANTS INTERACTIVE,1
757,CAHIERS SAINT DOMINIQUE,1
722,BMJ PUBLISHING GROUP ltd,1
718,BLUES ETC…,1
672,BAUER GERMAN Premium GmbH,1
696,BBC WORLDWIDE,1
673,BAUER LONDON LIFESTYLE LTD,1
677,BAUER VERLAG KG,1
678,BAUER VERTRIEBS  KG,1
680,BAUER WOMEN Gmbh,1
681,BAUER consumer MEDIA ltd,1
682,BAUER consummer media ltd,1
684,BAYARD  PRESSE,1
685,BAYARD  SERVICE EDITION,1
687,BAYARD PRESSE EDITION GRAND SUD OUEST,1
689,BAYARD SERVICE EDITION ( BSE ),1
691,BAYARD SERVICE EDITION GRAND SUD OUEST,1
693,BAYARD SERVICE ÉDITION,1
694,BAYARD SERVICE ÉDITIONS ( BSE ),1
695,BAYARD SERVICES EDITION,1
697,BBC WORLWIDE LTD,1
717,BLUES & CO,1
699,BEATRICE PICQ,1
700,BEAUX ARTS & CIE,1
702,BENEDICTE SOULA ENTREPRISE,1
703,BERGER-LEVRAULT,1
704,BEY MEDIAS PRESSE & INTERNET,1
706,BIBLIOTHEQUE NATIONALE DE FRANCE,1
707,BIOSANTE EDITIONS,1
708,BIP INFORMATION PROFESSIONNELLE,1
709,BIT-VERLAG WEINBRENNER GMBH,1
710,BLEUCOM,1
711,BLIZZ MEDIA,1
712,BLOOMBERG  LP,1
713,BLOOMBERG FINANCE LP,1
714,BLUE MUSIC,1
915,CMR 21,1
916,CNGE PRODUCTIONS,1
917,CNPP ENTREPRISE,1
1115,DIRE TERRITOIRES,1
1121,DISEGNO TACK PRESS LIMITED,1
1120,DIRECTION ET GESTION,1
1119,DIRECTION DU ROSAIRE DE BORDEAUX,1
1118,DIRECTION DE L'INFORMATION LEGALE ET ADMINISTRATIVE,1
1117,DIRECTION DE L'APOSTOLAT DU ROSAIRE DE TOULOUSE,1
1116,DIRECT MARKETING GESTION - DMG,1
1114,DIOCESE DE SEES,1
1066,DAISY/HI-TORQUE PUBLISHING COMPANY INC,1
1113,DIOCESE DE SAINT ETIENNE,1
1112,DIOCESE DE METZ,1
1111,DIOCESE DE BLOIS,1
1110,DIOCESAINE DU DIOCESE DE ROUEN,1
1109,DIOCESAINE DE VANNES,1
1108,DIOCESAINE DE ST-BRIEUC ET TREGUIER,1
1123,DISTRICT MULTIPLE 103 FRANCE DU LIONS INTERNATIONAL,1
1125,DJ MAG,1
1126,DM,1
1127,DMG - DOGAN MEDIA INTERNATIONAL GMBH,1
1128,DOGFIGHT EDITIONS,1
1130,DON BOSCO AUJOURD'HUI-DBA,1
1131,DONNEES & ARGUMENTS A GAUCHE,1
1132,DORDOGNE LIBRE,1
1133,DP PRESSE,1
1135,DSS MEDIA GROUP,1
1136,DTK MEDIA INC,1
1138,DUNOD EDITEUR,1
1139,DUNOD EDITIONS,1
1141,DVV MEDIA GROUP gmbh,1
1142,DVV MEDIA LTD,1
1143,De Persgroep Nederland BV,1
1144,Diocèse de Saint-Flour,1
1107,DIOCESAINE DE ST- BRIEUC ET TREGUIER,1
1106,DIOCESAINE DE ST BRIAC - BOURBRIAC,1
1105,DIOCESAINE DE SEES,1
1086,DEVAL,1
1068,DARK ARTS LTD,1
1070,DASTUM,1
1072,DC THOMSON & CO LTD,1
1073,DE PERSGROEP PUBLISHING,1
1074,DEALFLOW-DATA,1
1075,DEBOUT,1
1076,DEEPA BHATIA ON BEHALF OF CONDE NAST INDIA PVT LTD,1
1077,DEFENSE DE LA  LANGUE FRANCAISE,1
1079,DEPECHE HEBDOS,1
1080,DEPÊCHE HEBDOS,1
1081,DES AMIS DE VIEIL ILLE,1
1082,DES ANCIENS COMBATTANTS DU 40e RANA,1
1083,DETAIL Business Information GmbH,1
1084,DETROIT MEDIA,1
1087,DEVAL PRESSE INFOS,1
1104,DIOCESAINE DE SAINT-FLOUR,1
1088,DGT ASSOCIES,1
1090,DIARO EL PAIS,1
1091,DIASPORIQUES,1
1092,DIASSE SPRL,1
1093,DIGITAL BEAUTY,1
1095,DIOCESAINE D'ANNECY,1
1096,DIOCESAINE D'ORLEANS,1
1097,DIOCESAINE DE CHARTRES,1
1098,DIOCESAINE DE CLERMONT,1
1099,DIOCESAINE DE DIGNE,1
1100,"DIOCESAINE DE LA ""MISSION DE FRANCE""",1
1101,DIOCESAINE DE LUÇON,1
1102,DIOCESAINE DE MONTAUBAN,1
1103,DIOCESAINE DE PAMIERS,1
1145,E-MIR,1
1146,E.C. PUBLICATIONS INC.,1
1147,E.M.H.,1
1209,EDITIONS AVENIRCONSTRUCTION,1
1191,EDITION DE SANTE,1
1193,EDITION ET COMMUNICATION MEDICALES,1
1194,EDITION FATON,1
1196,EDITION SORMAN,1
1198,EDITIONS 31,1
1199,EDITIONS 8STUDIO SCAMARONI,1
1200,EDITIONS AD HOC,1
1201,EDITIONS AD-DOC,1
1202,EDITIONS AIR ET COSMOS,1
1204,EDITIONS AROLA,1
1205,EDITIONS AS,1
1206,EDITIONS ASTROLABE,1
1207,EDITIONS ATAO,1
1208,EDITIONS AUDIE -  AMUSEMENT UMOUR DERISION ILARITE ET TOUTES CES SORTES DE CHOSES,1
1210,EDITIONS BALLET 2000,1
1189,EDITION CONDE NAST SPA,1
1211,EDITIONS BAUER,1
1212,EDITIONS BEN IN CASA,1
1213,EDITIONS BLANC ET NOIR,1
1214,EDITIONS BUSINESS GROUP MEDIA,1
1216,EDITIONS CAZAUBON,1
1217,EDITIONS CHRISTIAN,1
1218,EDITIONS CINE-REVUE,1
1219,EDITIONS CITE PRESS IMPRESSIONS ECPI,1
1220,EDITIONS CLEMENT JUGLAR,1
1221,EDITIONS COLLECTOR,1
1222,EDITIONS CONQUETES,1
1223,EDITIONS COURSE AU LARGE,1
1224,EDITIONS CREPIN LEBLOND,1
1225,EDITIONS CRG,1
1190,EDITION DE L'INTERLIGNE,1
1187,EDITION 21,1
1148,E.P.M,1
1164,ECONOMIE ET POLITIQUE,1
1149,EAU ET RIVIERES DE BRETAGNE,1
1150,EBCL,1
1151,EBOO,1
1152,ECHANGES,1
1154,ECHO DE LA TIMBROLOGIE,1
1155,ECHO DU VAL D'OR,1
1156,ECHOROUK POUR L'EDITION ET L'INFORMATION,1
1157,ECHOS JUDICIAIRES GIRONDINS,1
1158,ECLAIREURS NEUTRES DE FRANCE,1
1159,ECLAIREUSES ET ECLAIREURS DE FRANCE,1
1160,ECLAIREUSES ET ECLAIREURS DE France,1
1161,ECO DE L'AIN,1
1162,ECO LIBRIS,1
1163,ECOLE DES HAUTES ETUDES EN SCIENCES SOCIALES (EHESS),1
1165,ECOPRESSE,1
1186,EDITING,1
1166,ECRIVIN,1
1167,EDEN DIFFUSION,1
1168,EDI SIC,1
1170,EDICA,1
1172,EDIDEC,1
1173,EDIFA  SOCIETE D'EDITIONS POUR LA FAMILLE,1
1174,EDIJOUR,1
1177,EDIMAY,1
1178,EDIMEDIA,1
1179,EDIPASSION,1
1180,EDIT EVENT,1
1181,EDIT OUEST,1
1182,EDITAG,1
1184,EDITALIE,1
1067,DAMNATION BVBA,1
1065,DAGUERRE EDITIONS,1
918,COARD ALFEED EDITIONS,1
960,COMMUNAUTE PASTORALE DU MENE,1
967,COMMUNIQUER INFORMER ET VIVRE AU PAYS (CIVAP),1
966,COMMUNION NOTRE DAME DE L'ALLIANCE,1
965,COMMUNIO,1
964,COMMUNICATION INFORMATION PRESSE - COMINFOP,1
963,COMMUNICATION ET PROFESSION COMPTABLE - C.P.C.,1
961,COMMUNAUTE SAINT-MARTIN,1
959,COMMUNAUTE PASTORALE DE LA BAIE,1
1064,D.D.S,1
958,COMMUNAUTE DES BENEDICTINS DE SAINT MARTIN DE LIGUGE,1
957,COMMUNAUTE CHRETIENNE AVEYRONNAISE DE PARIS ET DE L'ILE DE FRANCE - PAROISSE LOZERIENNE DE PARIS ET DE L'ILE DE FRANCE - PAROISSE CANTALIENNE DE L'ILE-DE-FRANCE,1
956,COMMISSION FRANCOPHONE CISTERCIENNE,1
955,COMMISSION D'ENQUETE CHINE,1
954,COMMENTAIRE,1
953,COMME EN POESIE,1
968,COMMUNISTES,1
969,COMPAGNIE D'EDITION FONCIERE,1
970,COMPAGNIE D'EDITIONS LIBRES SOCIALES ET ECONOMIQUES (CELSE),1
971,COMPAGNIE MEDITERRANEENNE D'EDITION,1
973,COMPO ECHOS,1
974,COMPO-ECHOS,1
978,CONDE NAST PUBLICATIONS LTD,1
979,CONDE NAST RUSSIA,1
980,CONDE NAST SPA,1
982,CONFEDERATION DE L'ARTISANAT ET DES PETITES ENTREPRISES DU BATIMENT (CAPEB),1
983,"CONFEDERATION DE LA CONSOMMATION, DU LOGEMENT ET DU CADRE DE VIE  (C.L.C.V)",1
984,CONFEDERATION FORCE OUVRIERE - CGT FO,1
985,CONFEDERATION GENERALE DU TRAVAIL,1
986,CONFEDERATION GENERALE DU TRAVAIL FORCE OUVRIERE,1
987,CONFEDERATION NATIONALE DES ASSOCIATIONS FAMILIALES CATHOLIQUES,1
988,CONFEDERATION NATIONALE DES RETRAITES MILITAIRES ET DES VEUVES DE MILITAIRES,1
989,CONFEDERATION NATIONALE DES SYNDICATS DENTAIRES,1
952,COMITÉ SCIENTIFIQUE PRO ANIMA,1
951,COMITÉ DE LIAISON ENSEIGNANTS ET ASTRONOMES,1
950,COMITE departemental DES LANDES DE BASKETBALL,1
933,COMITE DE LIAISON DES AMATEURS DE RHYTHM AND BLUES,1
919,COGITERRA,1
920,COHELLO,1
921,COLLECTIF DE PRATIQUES ET DE REFLEXIONS FEMINISTES RUPTURES,1
922,COLLECTIF PROUVENCO,1
923,COLOR MEDIA,1
924,COM'SOL,1
925,COMBOUL INVEST,1
926,COMEDPRO,1
927,COMITE AMERIQUE LATINE DE L'AGGLOMERATION CAENNAISE,1
928,COMITE CATHOLIQUE CONTRE LA FAIM ET POUR LE DEVELOPPEMENT - ( CCFD - TERRE SOLIDAIRE ),1
929,COMITE CATHOLIQUE CONTRE LA FAIM ET POUR LE DEVELOPPEMENT - CCFD,1
930,COMITE D'ETUDES DE DEFENSE NATIONALE,1
931,COMITE D'ETUDES ET D'INFORMATIONS PEDAGOGIQUES DE L'EDUCATION PHYSIQUE ET DU SPORT,1
932,COMITE DE BRETAGNE CYCLISME,1
934,"COMITE DEPARTEMENTAL DE L'ASSOCIATION DE DEFENSE DES MALADES, INVALIDES ET HANDICAPES ( AMI 33)",1
949,COMITE REGIONAL DE CYCLISME DES PAYS DE LA LOIRE,1
935,COMITE DEPARTEMENTAL DE LA SAONE-ET-LOIRE DES ANCIENS COMBATTANTS DE LA RESISTANCE (A.N.A.C.R),1
936,COMITE FRANCAIS DE L'ARBITRAGE,1
937,COMITE HONECKER DE SOLIDARITE INTERNATIONALISTE,1
938,COMITE MARSEILLE-PROVENCE DE L'ASSOCIATION FRANCE-CUBA,1
939,COMITE NATIONAL DE L'ESTAMPE,1
940,COMITE NATIONAL DE TOURISME EQUESTRE (CNTE),1
941,COMITE NATIONAL DES TRADITIONS DES TROUPES DE MARINE,1
942,COMITE POUR LA DEFENSE DES DROITS DE L'HOMME EN PAYS BASQUE CDDHPB,1
943,COMITE REGIONAL BRETAGNE DE LA  CGT,1
944,COMITE REGIONAL C.G.T. MIDI-PYRENEES,1
945,COMITE REGIONAL CGT AQUITAINE,1
946,COMITE REGIONAL CGT BOURGOGNE- FRANCHE-COMTE,1
947,COMITE REGIONAL CGT CHAMPAGNE-ARDENNE,1
948,COMITE REGIONAL CGT PICARDIE,1
990,CONFEDERATION NATIONALE DU LOGEMENT- CNL,1
991,CONFEDERATION NATIONALE DU TRAVAIL,1
992,CONFEDERATION PAYSANNE DE L'AIN,1
1047,CRITIQUE,1
1030,COPENHAGEN INSTITUTE FOR FUTURE STUDIES,1
1031,CORMEDIA,1
1032,CORNER GROUP,1
1033,CORSE-PRESSE,1
1034,CORSICAPRESS EDITIONS,1
1035,COSMOS MUSIC,1
1036,COTAINER MANAGEMENT LTD,1
