,date de notification,date de fin,prestataire,objet,montant
137,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,171360.0
138,43208,2022-04-17 00:00:00,SOPRA STERIA GROUP,"Conseil et expertise SI (DINSIC) - LOT 6
Attributaire n°1",171360.0
139,43860,2024-01-29 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINUM dans l’appui à la création et à l’animation d’un incubateur de services publics numériques en mode agile ,171053.40000000002
140,42926,2021-07-09 00:00:00,ATOS FRANCE,Service internet France connect,170277.24
141,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,169977.6
142,42926,2021-07-09 00:00:00,ATOS INTEGRATION,Service internet France connect,169668.06
143,43208,2022-04-17 00:00:00,AERIAL,"Conseil et expertise SI (DINSIC) - LOT 5
Attributaire n°1",169243.3
144,42914,2021-08-27 00:00:00,KALIOP,Service internet France connect,169176.0
145,43208,2022-04-17 00:00:00,BEARINGPOINT FRANCE SAS,"Conseil et expertise SI (DINSIC) - LOT 5
Attributaire n°4",168620.54
146,43209,2022-04-18 00:00:00,ERNST ET YOUNG ADVISORY,"Conseil et expertise SI (DINSIC) - LOT 5
Attributaire n°3",168120.0
147,42926,2021-07-09 00:00:00,ATOS INTEGRATION,Service internet France connect,166556.4
148,43208,2022-04-17 00:00:00,SOPRA STERIA GROUP,"Conseil et expertise SI (DINSIC) - LOT 5
Attributaire n°2",166119.0
149,43319,2021-08-06 00:00:00,CODEURS EN LIBERTE,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,165000.0
150,43320,2021-08-07 00:00:00,AROLLA,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,162939.31
151,43262,2022-06-10 00:00:00,LA JAVANESS,Assistance à la conception et à la mise en œuvre opérationnelle de projets de modernisation de l'action publique ,162747.13
152,43209,2022-04-18 00:00:00,ERNST ET YOUNG ADVISORY,"Conseil et expertise SI (DINSIC) - LOT 5
Attributaire n°3",162480.0
153,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,162240.0
154,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,162240.0
155,42926,2021-07-09 00:00:00,EUROGROUP CONSULTING FRANCE,Service internet France connect,160740.0
156,42914,2021-08-27 00:00:00,KALIOP,Service internet France connect,160632.0
157,43262,2022-06-10 00:00:00,INOP S,Assistance à la conception et à la mise en œuvre opérationnelle de projets de modernisation de l'action publique ,160092.6
158,42914,2021-08-27 00:00:00,KALIOP,Service internet France connect,159648.0
159,42914,2021-08-27 00:00:00,KALIOP,Service internet France connect,159144.0
160,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,159120.0
161,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,158400.0
162,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,156480.0
163, 12/05/2017, 10/11/18,OCTO TECHNOLOGY,Appui et à la mise en œuvre de start-up d’État,154800.0
164,42914,2021-08-27 00:00:00,KALIOP,Service internet France connect,154248.0
165,43209,2022-04-18 00:00:00,ERNST ET YOUNG ADVISORY,"Conseil et expertise SI (DINSIC) - LOT 5
Attributaire n°3",153960.0
166,43208,2022-04-17 00:00:00,SOPRA STERIA GROUP,"Conseil et expertise SI (DINSIC) - LOT 5
Attributaire n°2",153708.0
167,43208,2022-04-17 00:00:00,NOVEANE,"Conseil et expertise SI (DINSIC) - LOT 5
Attributaire n°1",153206.0
168,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,151776.0
169,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,151488.0
170,43208,2022-04-17 00:00:00,AERIAL,"Conseil et expertise SI (DINSIC) - LOT 5
Attributaire n°1",151313.82
171,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,150720.0
172, 02/07/2019,2023-07-02 00:00:00,CGI FRANCE,"Prestations de conseil, assistance à maîtrise d'ouvrage et de tierce recette applicative",150047.42
173,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,150000.0
174,43319,2021-08-06 00:00:00,UT7,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,150000.0
175,43997,2024-06-14 00:00:00,NOVEANE,Fourniture de prestations de valorisation des données (Datasciences),150000.0
